source,stratum,state_id,normal_previous_token,swept_previous_token,swept_previous_name,argmax_action,argmax_name,argmax_equals_previous_token,argmax_changed_from_normal_token,entropy,top1_probability,top1_margin,logits,probabilities
student_dev,early,student:47:18500:55,7,14,START,10,fine_turn_left,False,True,2.4999548371222504,0.1462719738483429,0.012565195560455322,"[0.0660318, 0.4558975, 0.714368, 0.4070356, 0.6110219, -0.4842163, -0.6003599, -0.3610933, -0.3296513, -0.4379598, 0.8041866, -0.4342937, -0.5729808, -0.5571657]","[0.0699173, 0.1032526, 0.1337068, 0.0983288, 0.1205787, 0.0403288, 0.0359066, 0.0456128, 0.0470697, 0.042238, 0.146272, 0.0423932, 0.0369033, 0.0374915]"
student_dev,early,student:47:18500:110,7,0,noop,1,forward,False,True,2.4069874964790516,0.1826096922159195,0.01842610538005829,"[0.9454439, 1.0518098, 0.2558163, 0.1046147, 0.603904, -1.5026077, -1.2623063, 0.3319725, -0.4450945, -0.7019554, 0.1279709, -0.2464913, -0.6272901, -0.6505956]","[0.1641836, 0.1826097, 0.0823812, 0.070821, 0.1166812, 0.0141956, 0.0180516, 0.0889001, 0.0408721, 0.0316135, 0.0724946, 0.0498516, 0.0340643, 0.0332796]"
student_dev,early,student:47:18500:110,7,1,forward,1,forward,True,True,2.3031449522814196,0.2951015830039978,0.18538568913936615,"[0.0575684, 1.5971402, 0.4956454, 0.237703, 0.0613935, -1.2149729, -1.5228069, 0.3026618, -0.1418974, -0.1881276, 0.6077148, -0.7319093, -0.7979301, -0.8372342]","[0.0632913, 0.2951016, 0.0980841, 0.0757836, 0.0635339, 0.0177291, 0.0130315, 0.0808699, 0.0518462, 0.0495039, 0.1097159, 0.0287394, 0.0269033, 0.0258664]"
student_dev,early,student:47:18500:110,7,2,forward_jump,2,forward_jump,True,True,2.4197961557897063,0.23064503073692322,0.1197047010064125,"[-0.4484489, 0.5218847, 1.3619041, 0.3946658, 0.6300167, -0.2031364, -0.8504654, -0.0403745, -0.3188491, -0.1714153, 0.6101438, -0.3821206, -0.767885, -0.5525994]","[0.0377327, 0.09957, 0.230645, 0.0876754, 0.1109403, 0.0482232, 0.025242, 0.0567469, 0.0429539, 0.0497774, 0.1087574, 0.0403203, 0.027415, 0.0340005]"
student_dev,early,student:47:18500:110,7,3,turn_left,3,turn_left,True,True,2.3065150429291594,0.27032509446144104,0.12891653180122375,"[-0.2331278, 0.9219443, 0.5371265, 1.5699162, -0.5987315, -0.6818492, -1.2398754, 0.3354908, -0.1741398, -0.1102119, 0.6997183, -0.5438739, -0.7670169, -0.870332]","[0.0445486, 0.1414086, 0.0962391, 0.2703251, 0.0309068, 0.0284418, 0.0162783, 0.0786651, 0.0472555, 0.0503751, 0.1132307, 0.0326497, 0.0261198, 0.0235559]"
student_dev,early,student:47:18500:110,7,4,turn_right,4,turn_right,True,True,2.2477177267853174,0.3146980106830597,0.18837493658065796,"[0.2571447, 0.4658164, 0.8410373, -0.6161323, 1.753808, -0.8099529, -1.0041728, 0.4664556, -0.6379194, -0.7128532, 0.5396917, -0.3455993, -0.9291128, -0.5249209]","[0.0704533, 0.0868013, 0.1263231, 0.02942, 0.314698, 0.0242363, 0.0199581, 0.0868568, 0.0287859, 0.0267077, 0.0934566, 0.0385596, 0.0215138, 0.0322296]"
student_dev,early,student:47:18500:110,7,5,look_up,2,forward_jump,False,True,2.453408269752384,0.18527092039585114,0.04969017207622528,"[-0.4913524, 0.801957, 1.1142087, 0.4041363, 0.175582, 0.0103664, -0.9624594, 0.4154484, -0.2538356, -0.2338253, 0.6077487, -0.4919347, -0.6263808, -0.8886116]","[0.0371981, 0.1355807, 0.1852709, 0.0910808, 0.0724714, 0.0614348, 0.0232232, 0.0921169, 0.0471708, 0.0481242, 0.1116489, 0.0371765, 0.0324997, 0.0250031]"
student_dev,early,student:47:18500:110,7,6,look_down,10,fine_turn_left,False,True,2.4678033602135416,0.1694999486207962,0.04437549412250519,"[0.001587, 0.6538797, 0.6314216, 0.6039495, 0.3056602, -0.5911847, -0.8145716, -0.3999142, -0.3323039, -0.359926, 0.9574234, -0.3959975, -0.782452, -0.5802774]","[0.0651711, 0.1251245, 0.1223457, 0.1190304, 0.0883308, 0.0360261, 0.0288139, 0.04362, 0.0466711, 0.0453996, 0.1694999, 0.0437911, 0.0297544, 0.0364212]"
student_dev,early,student:47:18500:110,7,7,attack,7,attack,True,False,2.061599086994268,0.4023466408252716,0.27564606070518494,"[0.1367193, 0.9520851, 0.4873225, 0.3644959, 0.3450654, -1.1886252, -1.8036406, 2.1075723, -0.716603, -0.5567783, 0.1589372, -0.625152, -0.9790843, -0.9389078]","[0.0560622, 0.1267006, 0.079604, 0.0704031, 0.0690484, 0.0148964, 0.0080535, 0.4023466, 0.0238823, 0.0280213, 0.0573217, 0.0261694, 0.0183689, 0.0191219]"
student_dev,early,student:47:18500:110,7,8,forward_attack,1,forward,False,True,2.4731223232103114,0.18355469405651093,0.049559593200683594,"[-0.3618406, 1.0366918, 0.4056221, 0.3042009, -0.0669036, -0.4750813, -0.8017192, -0.5586035, 0.4715817, -0.0072672, 0.7219823, -0.5839049, -0.3273863, -0.7328648]","[0.0453305, 0.1835547, 0.0976552, 0.0882366, 0.0608808, 0.0404772, 0.029198, 0.0372338, 0.1043137, 0.0646219, 0.1339951, 0.0363036, 0.0469196, 0.0312793]"
