dataset,audit_stratum,value,timesteps,episodes,seeds,teacher_action_histogram,previous_action_histogram,next_action_histogram
dagger1,approach_dynamics,decreasing,0,0,0,{},{},{}
dagger1,approach_dynamics,stable,0,0,0,{},{},{}
dagger1,approach_dynamics,increasing,0,0,0,{},{},{}
student_dev,tree_visible,negative,5168,12,4,"{""attack"": 490, ""fine_turn_left"": 259, ""turn_right"": 4419}","{""attack"": 490, ""fine_turn_left"": 259, ""noop"": 6, ""turn_right"": 4413}","{""attack"": 490, ""fine_turn_left"": 259, ""turn_right"": 4419}"
student_dev,tree_visible,positive,832,9,3,"{""attack"": 10, ""fine_turn_left"": 241, ""turn_right"": 581}","{""attack"": 9, ""fine_turn_left"": 240, ""noop"": 6, ""turn_right"": 577}","{""attack"": 10, ""fine_turn_left"": 241, ""turn_right"": 581}"
student_dev,contact_range,negative,2124,9,3,"{""turn_right"": 2124}","{""noop"": 3, ""turn_right"": 2121}","{""turn_right"": 2124}"
student_dev,contact_range,positive,3876,12,4,"{""attack"": 500, ""fine_turn_left"": 500, ""turn_right"": 2876}","{""attack"": 499, ""fine_turn_left"": 499, ""noop"": 9, ""turn_right"": 2869}","{""attack"": 500, ""fine_turn_left"": 500, ""turn_right"": 2876}"
student_dev,valid_attack_geometry,negative,5375,12,4,"{""attack"": 490, ""fine_turn_left"": 259, ""turn_right"": 4626}","{""attack"": 490, ""fine_turn_left"": 259, ""noop"": 9, ""turn_right"": 4617}","{""attack"": 490, ""fine_turn_left"": 259, ""turn_right"": 4626}"
student_dev,valid_attack_geometry,positive,625,6,2,"{""attack"": 10, ""fine_turn_left"": 241, ""turn_right"": 374}","{""attack"": 9, ""fine_turn_left"": 240, ""noop"": 3, ""turn_right"": 373}","{""attack"": 10, ""fine_turn_left"": 241, ""turn_right"": 374}"
student_dev,approach_dynamics,decreasing,2460,11,4,"{""fine_turn_left"": 56, ""turn_right"": 2404}","{""fine_turn_left"": 56, ""turn_right"": 2404}","{""fine_turn_left"": 56, ""turn_right"": 2404}"
student_dev,approach_dynamics,stable,1112,9,3,"{""attack"": 488, ""fine_turn_left"": 318, ""turn_right"": 306}","{""attack"": 488, ""fine_turn_left"": 318, ""turn_right"": 306}","{""attack"": 488, ""fine_turn_left"": 318, ""turn_right"": 306}"
student_dev,approach_dynamics,increasing,2392,12,4,"{""attack"": 9, ""fine_turn_left"": 123, ""turn_right"": 2260}","{""attack"": 9, ""fine_turn_left"": 123, ""turn_right"": 2260}","{""attack"": 9, ""fine_turn_left"": 123, ""turn_right"": 2260}"
