label,feature_space,model,evaluation_split,status,majority_baseline,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,auroc,pr_auc,confusion_matrix,mae,rmse,r2
contact_range,F3_four_frame_stack,knn_k5,student_dev,diagnostic_only,0.5,0.688659897500481,0.5353520727308986,0.8365688783465611,0.6378793742446611,0.7511517591475088,0.8611388246273803,"[[1830, 294], [1877, 1999]]",,,
contact_range,F4_handwritten,fixed_logistic,bc_train,diagnostic_only,0.5,0.9121882936082979,0.8515285529920325,0.936240937999703,0.8698977434954961,0.9627604565064406,0.8838568738760582,"[[1146, 188], [17, 473]]",,,
contact_range,F4_handwritten,fixed_logistic,bc_validation,diagnostic_only,0.5,0.5807893285807688,0.555856286272397,0.606440086150633,0.5513038672980364,0.60517524228007,0.5593858664364108,"[[208, 509], [105, 712]]",,,
contact_range,F4_handwritten,fixed_logistic,dagger1,coverage_insufficient_for_generalization_claim,,,,,,,,,,,
contact_range,F4_handwritten,fixed_logistic,student_dev,diagnostic_only,0.5,0.5637451680047576,0.5202721036112608,0.6414573407322832,0.5515469609297212,0.6577962263307543,0.8062515452866683,"[[513, 1611], [442, 3434]]",,,
contact_range,F4_handwritten,knn_k5,bc_train,diagnostic_only,0.5,0.9558945017287275,0.9382685619559318,0.9691981787959361,0.9541347459473958,0.9949637426184867,0.9863596690498263,"[[1298, 36], [30, 460]]",,,
contact_range,F4_handwritten,knn_k5,bc_validation,diagnostic_only,0.5,0.7420683898127141,0.5802444024993492,0.9085426622837467,0.7290888114006535,0.8053326368368132,0.8586739099728641,"[[642, 75], [336, 481]]",,,
contact_range,F4_handwritten,knn_k5,dagger1,coverage_insufficient_for_generalization_claim,,,,,,,,,,,
contact_range,F4_handwritten,knn_k5,student_dev,diagnostic_only,0.5,0.6119674601925218,0.4665764448510994,0.7362339929672547,0.5875512279355172,0.6820185156032875,0.8087343375727462,"[[1439, 685], [1758, 2118]]",,,
contact_range,F5_cnn_embedding,fixed_logistic,bc_train,diagnostic_only,0.5,0.7602591561362175,0.646055445268499,0.8418273056457624,0.7003242171233953,0.8649374292445615,0.6867698971274918,"[[904, 430], [77, 413]]",,,
contact_range,F5_cnn_embedding,fixed_logistic,bc_validation,diagnostic_only,0.5,0.6988429280850272,0.6064183360597852,0.8065333333333333,0.6879075694139567,0.870431162073716,0.8692891174034343,"[[322, 395], [42, 775]]",,,
contact_range,F5_cnn_embedding,fixed_logistic,dagger1,coverage_insufficient_for_generalization_claim,,,,,,,,,,,
contact_range,F5_cnn_embedding,fixed_logistic,student_dev,diagnostic_only,0.5,0.5993685609837155,0.561835628810381,0.6547615828185316,0.5975885684782773,0.7294767743552967,0.8479019412698114,"[[672, 1452], [456, 3420]]",,,
contact_range,F5_cnn_embedding,knn_k5,bc_train,diagnostic_only,0.5,0.9299681791757182,0.9056115271213311,0.9466938106714394,0.9308023131806924,0.9887234953951596,0.9702867903535259,"[[1286, 48], [51, 439]]",,,
contact_range,F5_cnn_embedding,knn_k5,bc_validation,diagnostic_only,0.5,0.7074296376340286,0.5535349666191243,0.8029582190460471,0.7017025859409539,0.774586071093858,0.809779321260253,"[[566, 151], [306, 511]]",,,
contact_range,F5_cnn_embedding,knn_k5,dagger1,coverage_insufficient_for_generalization_claim,,,,,,,,,,,
contact_range,F5_cnn_embedding,knn_k5,student_dev,diagnostic_only,0.5,0.5076787182312711,0.3938181131792497,0.6053826399663728,0.5060572850889214,0.6085267589045729,0.7684179328312615,"[[882, 1242], [1550, 2326]]",,,
